,bins,completeness,contamination
1469,bin.2272,94.75599315068493,1.36986301369863
1470,bin.231,89.87341772151899,2.0138089758342925
1471,bin.2307,82.25574712643679,1.3752052545155993
1474,bin.2317,80.27482269503547,2.198581560283688
1476,bin.2294,91.20879120879121,0.5494505494505495
1478,bin.230,79.26390583689242,2.6286353467561523
1482,bin.2281,96.41111180395336,1.2658227848101267
1483,bin.2304,70.71657839833092,0.9921981004070557
1492,bin.2291,98.6013986013986,0.34965034965034963
1495,bin.2318,70.64311594202897,6.819070623418449
1501,bin.2321,89.87341772151899,3.6392405063291138
1505,bin.2320,86.03666521169795,1.6726943942133814
1510,bin.2354,86.50320846340618,4.05058651026393
1516,bin.2344,81.96457326892109,3.7359098228663448
1517,bin.2348,92.19409282700421,0.6904487917146144
1518,bin.2338,91.13475177304964,4.397163120567376
1519,bin.2331,91.00973503147416,2.077294685990338
1521,bin.2316,74.30534166528564,5.284391534391535
1524,bin.2360,91.55458860759494,2.5197784810126582
1528,bin.2333,91.98113207547169,0.9433962264150944
1529,bin.236,91.87763713080169,8.481012658227849
1532,bin.2362,90.61999303378614,8.429118773946358
1533,bin.2384,86.84444444444443,8.8
1535,bin.2312,77.88980716253444,8.010101010101009
1536,bin.2342,77.49624624624624,0.6756756756756757
1541,bin.2376,82.38798238798239,0.7122507122507122
1546,bin.2390,73.33333333333333,9.333333333333334
1550,bin.2395,80.11111111111111,2.111111111111111
1551,bin.2349,90.77181208053692,1.6079418344519014
1553,bin.2392,86.22528616024974,1.8878299120234605
1554,bin.239,89.75404209884076,2.125279642058165
1557,bin.2380,78.01880632101346,7.93010752688172
1561,bin.2413,75.64728871519296,5.093632958801498
1562,bin.2366,91.84397163120568,7.328605200945628
1564,bin.2391,82.84025713693232,8.30839151171632
1566,bin.2332,93.02570523158758,5.383597883597884
1569,bin.2377,91.15338164251207,1.8115942028985508
1571,bin.2407,76.55620805369128,0.02097315436241611
1572,bin.2379,80.3030303030303,0.6993006993006993
1573,bin.2385,85.21505376344086,7.190860215053764
1576,bin.2387,83.52265043948613,2.194050033806626
1577,bin.2334,89.70588235294117,2.5560224089635857
1578,bin.2401,77.08333333333334,7.388942651090988
1580,bin.2406,75.48673993686782,2.1065182829888713
1583,bin.2427,76.3048662473215,4.196043869956914
1588,bin.2416,82.16458146125665,5.434782608695653
1589,bin.2400,90.64760508308895,8.77787087464507
1590,bin.2378,96.62837162837164,2.8998778998779
1592,bin.2421,88.03418803418803,6.526806526806527
1596,bin.2426,90.26845637583892,2.348993288590604
1604,bin.2409,87.89848993288591,3.535692495424039
